id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2856194;J. Selwin Rajadurai|S. Sundaram|V. A. Nagarajan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042356;;IJCAET;journals/ijcaet/NagarajanSR11;2012-05-31;;;5/6;466-479;;;;;;;Characterisation of delamination failure in composite wind turbine blade using refined delamination factor.;;;db/journals/ijcaet/ijcaet3.html#NagarajanSR11;3;2011
2856195;Liu Liu|Rong Sun|Said F. Al-Sarawi|Ying Sun;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030546;;IJCAET;journals/ijcaet/LiuSSA10;2012-05-31;;;2/3;218-233;;;;;;;A smart bushfire monitoring and detection system using GSM technology.;;;db/journals/ijcaet/ijcaet2.html#LiuSSA10;2;2010
2856196;D. Devaraj|J. Kanmani|K. Valarmathi|T. K. Radhakrishnan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042354;;IJCAET;journals/ijcaet/ValarmathiKDR11;2012-05-31;;;5/6;443-457;;;;;;;Swarm intelligence based system identification and controller tuning.;;;db/journals/ijcaet/ijcaet3.html#ValarmathiKDR11;3;2011
2856197;Armando W. Colombo|Francisco Restivo|J. Marco Mendes|Paulo Leitão;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040048;;IJCAET;journals/ijcaet/MendesRCL11;2012-05-31;;;3/4;281-291;;;;;;;Behaviour and integration of service-oriented automation and production devices at the shop-floor.;;;db/journals/ijcaet/ijcaet3.html#MendesRCL11;3;2011
2856198;K. Kumar|K. Ramachandra|S. L. Ajit Prasad;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.046633;;IJCAET;journals/ijcaet/KumarPR12;2012-05-31;;;3;193-205;;;;;;;Development of integral bladed rotor using linear optimisation technique.;;;db/journals/ijcaet/ijcaet4.html#KumarPR12;4;2012
2856199;Abdoul Rjoub|Muna M. Al-Durrah;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.044582;;IJCAET;journals/ijcaet/RjoubA12;2012-05-31;;;1;49-71;;;;;;;The performance and behaviour of dual edge triggered flip-flops in nanotechnology.;;;db/journals/ijcaet/ijcaet4.html#RjoubA12;4;2012
2856200;Anja Herrmann Praturlon|Fabrizio Meo|Géza Haidegger|Imre Paniti|István Mezgár|Jon Agirre Ibarbia|Joseph Canou|Josu Larranaga|Maxim Foursa|Simon Thiel|Thomas Schlegel;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040051;;IJCAET;journals/ijcaet/SchlegelTFMLIHMPPC11;2013-12-13;;;3/4;322-343;;;;;;;Smart connected and interactive production control in a distributed environment.;;;db/journals/ijcaet/ijcaet3.html#SchlegelTFMLIHMPPC11;3;2011
2856201;Samir Mekid|Tunde Ogedengbe;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.040044;;IJCAET;journals/ijcaet/OgedengbeM11;2012-05-31;;;3/4;230-239;;;;;;;An investigation of influence of machining conditions on machining error.;;;db/journals/ijcaet/ijcaet3.html#OgedengbeM11;3;2011
2856202;A. V. Raviprakash|B. Prabu|N. Rathinam;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.047813;;IJCAET;journals/ijcaet/PrabuRR12;2012-11-27;;;4;295-320;;;;;;;Numerical buckling analysis of thin cylindrical shells with combined distributed and local geometrical imperfections under uniform axial compression.;;;db/journals/ijcaet/ijcaet4.html#PrabuRR12;4;2012
2856203;H. D. Mathur;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.044583;;IJCAET;journals/ijcaet/Mathur12;2012-05-31;;;1;72-79;;;;;;;Fuzzy based HVDC regulation controller for load frequency control of multi-area system.;;;db/journals/ijcaet/ijcaet4.html#Mathur12;4;2012
2856204;Dusmanta Kumar Mohanta|Sumit Gupta|Velaga Sreerama Murthy;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.050550;;IJCAET;journals/ijcaet/MurthyMG13;2013-01-18;;;1;1-19;;;;;;;Power system insulator condition monitoring automation using mean shift tracker-FIS combined approach.;;;db/journals/ijcaet/ijcaet5.html#MurthyMG13;5;2013
2856205;Santanu Chattopadhyay|Subhadip Kundu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.045652;;IJCAET;journals/ijcaet/KunduC12;2012-05-31;;;2;101-125;;;;;;;Efficient don't care filling and scan chain masking for low-power testing.;;;db/journals/ijcaet/ijcaet4.html#KunduC12;4;2012
2856206;Charidimos E. Spyrou|Evangelos A. Magnissalis|Panagiotis E. Chatzistergos|Stavros K. Kourkoulis;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.056701;;IJCAET;journals/ijcaet/ChatzistergosSMK13;2013-11-13;;;4;343-361;;;;;;;Dependence of the pullout behaviour of pedicle screws on the screw-hosting material relative deformability.;;;db/journals/ijcaet/ijcaet5.html#ChatzistergosSMK13;5;2013
2856207;M. Victor Raj|S. G. Ponnambalam|Saravana S. Sankar;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042358;;IJCAET;journals/ijcaet/SankarPR11;2012-05-31;;;5/6;492-503;;;;;;;A new approach to nullify surplus parts in selective assembly.;;;db/journals/ijcaet/ijcaet3.html#SankarPR11;3;2011
2856208;David E. James|James G. Burchfield|Katarina Mele|Pascal Vallotton|William E. Hughes;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028555;;IJCAET;journals/ijcaet/MeleVBJH09;2012-05-29;;;4;502-515;;;;;;;Towards fully automated identification of vesicle-membrane fusion events in TIRF microscopy.;;;db/journals/ijcaet/ijcaet1.html#MeleVBJH09;1;2009
2856209;Rajesh Kumar Porwal|Vinod Yadava;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.058004;;IJCAET;journals/ijcaet/PorwalY14;2014-03-21;;;1;62-73;;;;;;;Experimentation and prediction of material removal rate of electrical discharge micromachining of nickel-based super alloy thin sheet.;;;db/journals/ijcaet/ijcaet6.html#PorwalY14;6;2014
2856210;Junji Kojima|Mayumi Oyama-Higa|Reika Sato|Sadaka Sato|Tiejun Miao;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.049576;;IJCAET;journals/ijcaet/MiaoOSKS12;2012-11-27;;;6;557-566;;;;;;;Chaos of plethysmogram in relation to scalp-EEG: a model and experiments.;;;db/journals/ijcaet/ijcaet4.html#MiaoOSKS12;4;2012
2856211;Abdullahil Azeem|Biddut Bhattacharjee|Sanjoy Kumar Paul|Syed Mithun Ali;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.048841;;IJCAET;journals/ijcaet/BhattacharjeeAAP12;2012-11-27;;;5;445-464;;;;;;;Development of a CNC interpolation scheme for CNC controller based on Runge-Kutta method.;;;db/journals/ijcaet/ijcaet4.html#BhattacharjeeAAP12;4;2012
2856212;D. Nageswara Rao|V. Sai Srikanth;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.037870;;IJCAET;journals/ijcaet/SrikanthR11;2012-05-31;;;1;92-105;;;;;;;A network model for material handling with split loads using AGVS in machine modules.;;;db/journals/ijcaet/ijcaet3.html#SrikanthR11;3;2011
2856213;P. K. Maji|S. K. Mandal|S. Karmakar;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.038822;;IJCAET;journals/ijcaet/MandalMK11;2012-05-31;;;2;126-137;;;;;;;CAD utilisation at the concept design - a case study.;;;db/journals/ijcaet/ijcaet3.html#MandalMK11;3;2011
2856214;Dikai Liu|Gavin Paul|Ngai Ming Kwok|Wing-Keung To;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022786;;IJCAET;journals/ijcaet/ToPKL09;2012-05-29;;;2;185-208;;;;;;;An efficient trajectory planning approach for autonomous robots in complex bridge environments.;;;db/journals/ijcaet/ijcaet1.html#ToPKL09;1;2009
2856215;Ali Aldahoud|Allaoua Chaoui|Fayçal Guerrouf;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.050549;;IJCAET;journals/ijcaet/GuerroufCA13;2013-01-18;;;1;44-57;;;;;;;A graph transformation approach of mobile activity diagram to nested Petri nets.;;;db/journals/ijcaet/ijcaet5.html#GuerroufCA13;5;2013
2856216;R. B. Misra|R. C. Bansal|Vivek Shrivastava;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.044584;;IJCAET;journals/ijcaet/ShrivastavaMB12;2012-05-31;;;1;80-89;;;;;;;An assessment of electrical load forecasting using artificial neural network.;;;db/journals/ijcaet/ijcaet4.html#ShrivastavaMB12;4;2012
2856217;Azadeh Hemati|Kody Varahramyan|Mangilal Agarwal|Parvin Ghane|Sudhir Shrestha;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.049574;;IJCAET;journals/ijcaet/ShresthaAHGV12;2012-11-27;;;6;499-516;;;;;;;Breast tumour detection by flexible wearable antenna system.;;;db/journals/ijcaet/ijcaet4.html#ShresthaAHGV12;4;2012
2856218;Takialddin A. Al Smadi;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.049572;;IJCAET;journals/ijcaet/Smadi12;2012-11-27;;;6;567-579;;;;;;;Computer application using low cost smart sensor.;;;db/journals/ijcaet/ijcaet4.html#Smadi12;4;2012
2856219;Ahmed Haj Darwish|Duc Truong Pham|Eldaw Eldukhri;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022790;;IJCAET;journals/ijcaet/PhamDE09;2012-05-29;;;2;250-264;;;;;;;Optimisation of a fuzzy logic controller using the Bees Algorithm.;;;db/journals/ijcaet/ijcaet1.html#PhamDE09;1;2009
2856220;Abad Ali Shah|Irfan Younas|Muhammad Zahoor;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.044581;;IJCAET;journals/ijcaet/ZahoorYS12;2012-05-31;;;1;32-48;;;;;;;A hybrid system for vehicle routing and traffic delay estimation.;;;db/journals/ijcaet/ijcaet4.html#ZahoorYS12;4;2012
2856221;Alan J. Crispin;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.047816;;IJCAET;journals/ijcaet/Crispin12;2012-11-27;;;4;360-372;;;;;;;Genetic routing optimisation for the computer aided manufacture of circuits.;;;db/journals/ijcaet/ijcaet4.html#Crispin12;4;2012
2856222;Anthony Soroka|Duc Truong Pham|Ze Ji;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022787;;IJCAET;journals/ijcaet/PhamJS09;2012-05-29;;;2;209-224;;;;;;;Ultrasonic distance scanning techniques for mobile robots.;;;db/journals/ijcaet/ijcaet1.html#PhamJS09;1;2009
2856223;A. V. Raviprakash|A. Venkatraman|B. Prabu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.045654;;IJCAET;journals/ijcaet/PrabuRV12;2012-05-31;;;2;143-164;;;;;;;Neighbourhood effect of two short dents on buckling behaviour of short thin stainless steel cylindrical shells.;;;db/journals/ijcaet/ijcaet4.html#PrabuRV12;4;2012
2856224;D. Tulsidas|Kenche Gowda Kumar|M. Shantharaja;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.056702;;IJCAET;journals/ijcaet/TulsidasSK13;2013-11-13;;;4;329-342;;;;;;;Improved fillet stresses in steam turbine blade.;;;db/journals/ijcaet/ijcaet5.html#TulsidasSK13;5;2013
2856225;Ali Assi|Mohammed Abdi Jama;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030548;;IJCAET;journals/ijcaet/AssiJ10;2013-11-19;;;2/3;250-273;;;;;;;MATLAB-based tool for modelling on-grid photovoltaic systems dedicated to the housing sector in UAE.;;;db/journals/ijcaet/ijcaet2.html#AssiJ10;2;2010
2856226;An Caris|Gerrit K. Janssens;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.035390;;IJCAET;journals/ijcaet/CarisJ10;2012-05-31;;;4;340-355;;;;;;;A deterministic annealing algorithm for the pre- and end-haulage of intermodal container terminals.;;;db/journals/ijcaet/ijcaet2.html#CarisJ10;2;2010
2856227;Durg Singh Chauhan|Kamlesh Dutta|Varun Gupta;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.058003;;IJCAET;journals/ijcaet/GuptaCD14;2014-03-21;;;1;29-47;;;;;;;Requirement reprioritisation for pairwise compared requirements.;;;db/journals/ijcaet/ijcaet6.html#GuptaCD14;6;2014
2856228;Abdellatif Mtibaa|Bouraoui Ouni|Ramzi Ayadi;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.037869;;IJCAET;journals/ijcaet/OuniAM11;2012-05-31;;;1;77-91;;;;;;;Partitioning and scheduling technique for run time reconfigured systems.;;;db/journals/ijcaet/ijcaet3.html#OuniAM11;3;2011
2856229;O. T. Laseinde|S. B. Adejuyigbe;;;;;;;http://dx.doi.org/10.1504/IJCAET.2014.058001;;IJCAET;journals/ijcaet/LaseindeA14;2014-03-21;;;1;48-61;;;;;;;Design of plastic spur gears using virtual reality.;;;db/journals/ijcaet/ijcaet6.html#LaseindeA14;6;2014
2856230;K. Ramasamy|K. Subramanian|Malathy Pushpavanam|V. M. Periasamy;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042365;;IJCAET;journals/ijcaet/SubramanianPPR11;2012-05-31;;;5/6;570-582;;;;;;;Predictive modelling and optimisation of tin in electro-deposition of bronze using response surface methodology.;;;db/journals/ijcaet/ijcaet3.html#SubramanianPPR11;3;2011
2856231;Pichet Sriyanyong;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.049575;;IJCAET;journals/ijcaet/Sriyanyong12;2012-11-27;;;6;535-556;;;;;;;A comparative study on particle swarm optimisation algorithms for economic dispatch with multiple fuels.;;;db/journals/ijcaet/ijcaet4.html#Sriyanyong12;4;2012
2856232;Alessandro Ceruti|Alfredo Liverani|Gianni Caligiana;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.052936;;IJCAET;journals/ijcaet/LiveraniCC13;2013-04-22;;;2/3;188-215;;;;;;;Tablet-based 3D sketching and curve reverse modelling.;;;db/journals/ijcaet/ijcaet5.html#LiveraniCC13;5;2013
2856233;Paul Ingle|Robert W. Walker;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.026975;;IJCAET;journals/ijcaet/WalkerI09;2012-05-29;;;3;288-299;;;;;;;Finite element modelling the natural human joint.;;;db/journals/ijcaet/ijcaet1.html#WalkerI09;1;2009
2856234;Daniel A. McAdams|Irem Y. Tumer|Ryan S. Hutcheson;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.046636;;IJCAET;journals/ijcaet/HutchesonMT12;2012-05-31;;;3;250-271;;;;;;;Function-based behavioural modelling.;;;db/journals/ijcaet/ijcaet4.html#HutchesonMT12;4;2012
2856235;Bo Wang|David Rees|Guo-Ping Liu|Jonathan G. Williams|Kary Thanapalan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022783;;IJCAET;journals/ijcaet/ThanapalanLWWR09;2012-05-29;;;2;145-157;;;;;;;Review and analysis of fuel cell system modelling and control.;;;db/journals/ijcaet/ijcaet1.html#ThanapalanLWWR09;1;2009
2856236;David Ladeveze|Francisco Javier Carrillo|Philippe Charbonnaud;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.022784;;IJCAET;journals/ijcaet/CharbonnaudCL09;2012-05-29;;;2;158-172;;;;;;;Calibrating force vs. position control applied to a milling operation using two hybrid automata.;;;db/journals/ijcaet/ijcaet1.html#CharbonnaudCL09;1;2009
2856237;Abraham T. Mathew|J. Dinesh Peter|V. K. Govindan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028552;;IJCAET;journals/ijcaet/PeterGM09;2012-05-29;;;4;455-479;;;;;;;A robust affine parameter estimation using acquainted non-convexity multiresolution based optimisation for image registration.;;;db/journals/ijcaet/ijcaet1.html#PeterGM09;1;2009
2856238;Daniel P. Playne|Kenneth A. Hawick;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029598;;IJCAET;journals/ijcaet/HawickP10;2012-05-31;;;1;78-93;;;;;;;Modelling, simulating and visualising the Cahn-Hilliard-Cook field equation.;;;db/journals/ijcaet/ijcaet2.html#HawickP10;2;2010
2856239;John Mo|Loren Yeo|Sabu John;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.029593;;IJCAET;journals/ijcaet/YeoJM10;2012-05-31;;;1;15-29;;;;;;;Simulation of an optical tracking control system of a differentially-driven wheeled robot.;;;db/journals/ijcaet/ijcaet2.html#YeoJM10;2;2010
2856240;José Simões|Thomas Magedanz;;;;;;;http://dx.doi.org/10.1504/IJCAET.2010.030543;;IJCAET;journals/ijcaet/SimoesM10;2012-05-31;;;2/3;164-180;;;;;;;Smart advertising in the home of the future.;;;db/journals/ijcaet/ijcaet2.html#SimoesM10;2;2010
2856241;Mark McQuilling|Sanjay Jayaram|Sridhar Condoor;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.044585;;IJCAET;journals/ijcaet/JayaramMC12;2012-05-31;;;1;90-100;;;;;;;PRO/MECHANICA-based structural and random vibration analysis of picosatellite structure.;;;db/journals/ijcaet/ijcaet4.html#JayaramMC12;4;2012
2856242;K. Nithiyananthan|V. Ramachandran;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.056698;;IJCAET;journals/ijcaet/NithiyananthanR13;2013-11-13;;;4;300-310;;;;;;;Distributed mobile agent model for multi area power systems automated online state estimation.;;;db/journals/ijcaet/ijcaet5.html#NithiyananthanR13;5;2013
2856243;Ana Carolina L. Pacheco|Diana M. Oliveira|Fabiana F. Araújo|Fatima De Cassia E. Oliveira|Marcilia P. Costa|Michel T. Kamimura|Michely C. Diniz|Raimundo Araujo-Filho|Samara C. Silva;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028550;;IJCAET;journals/ijcaet/PachecoAKSDOACO09;2012-05-29;;;4;420-436;;;;;;;Hidden Markov models and the Viterbi algorithm applied to integrated bioinformatics analyses of putative flagellar actin-interacting proteins in Leishmania spp.;;;db/journals/ijcaet/ijcaet1.html#PachecoAKSDOACO09;1;2009
2856244;Min-jae Oh|Qun-Sheng Peng|Zheng-Sheng Yu|Zhi-Geng Pan;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.026979;;IJCAET;journals/ijcaet/YuOPP09;2012-05-29;;;3;354-367;;;;;;;Generation of a planar offset curve based on minimum distance.;;;db/journals/ijcaet/ijcaet1.html#YuOPP09;1;2009
2856245;Y. Luo;;;;;;;http://dx.doi.org/10.1504/IJCAET.2012.048842;;IJCAET;journals/ijcaet/Luo12;2012-11-27;;;5;465-473;;;;;;;The analysis and computing of geometry object in information integration.;;;db/journals/ijcaet/ijcaet4.html#Luo12;4;2012
2856246;Guoyu Qian|Jesse S. Jin|Mira Park|Suhuai Luo|Wieslaw L. Nowinski;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028553;;IJCAET;journals/ijcaet/QianLJPN09;2012-05-29;;;4;480-493;;;;;;;Automated and domain knowledge-based brain extraction from CT head scans.;;;db/journals/ijcaet/ijcaet1.html#QianLJPN09;1;2009
2856247;I. Siva|J. T. Winowlin Jappes;;;;;;;http://dx.doi.org/10.1504/IJCAET.2011.042364;;IJCAET;journals/ijcaet/SivaJ11;2012-05-31;;;5/6;559-569;;;;;;;Investigation on the effect of hybridisation and weathering behaviour of natural fibre polymer composites.;;;db/journals/ijcaet/ijcaet3.html#SivaJ11;3;2011
2856248;Ngai-Fong Law|Paula Wu|Wan-Chi Siu;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.028551;;IJCAET;journals/ijcaet/WuLS09;2012-05-29;;;4;437-454;;;;;;;Analysis of cross sequence similarities for multiple DNA sequences compression.;;;db/journals/ijcaet/ijcaet1.html#WuLS09;1;2009
2856249;Giuseppe Salvia|Marinella Levi|Valentina Rognoli;;;;;;;http://dx.doi.org/10.1504/IJCAET.2013.052931;;IJCAET;journals/ijcaet/SalviaRL13;2013-04-22;;;2/3;159-176;;;;;;;(Un)conventional engineering tests to predict fabrics sensorial properties.;;;db/journals/ijcaet/ijcaet5.html#SalviaRL13;5;2013
2856250;Haris Naduthodi|Prakasan Kalakkath;;;;;;;http://dx.doi.org/10.1504/IJCAET.2009.026980;;IJCAET;journals/ijcaet/NaduthodiK09;2012-05-29;;;3;368-387;;;;;;;Generating exterior surface for headlamps of passenger cars from car body profiles.;;;db/journals/ijcaet/ijcaet1.html#NaduthodiK09;1;2009
2856251;Maria Teresa Restivo;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/2099/2192;;iJEP;journals/i-jep/Restivo12;2012-05-02;;;2;4-5;;;;;;;IT's and Engineering Pedagogy (ITEP'12).;;;db/journals/i-jep/i-jep2.html#Restivo12;2;2012
2856252;Noraishiyah Abdullah;;;;;;;http://online-journals.org/i-jep/article/view/2443;;iJEP;journals/i-jep/Abdullah13;2013-05-02;;;S2;33-38;;;;;;;Mathematics Education for Engineering Technology Students - A Bridge Too Far?;;;db/journals/i-jep/i-jep3.html#Abdullah13;3;2013
2856253;Aare Aan|Eino Aarend|Mati Heinloo;;;;;;;http://online-journals.org/index.php/i-jep/article/view/1788;;iJEP;journals/i-jep/AanHA11;2012-03-10;;;3;4-8;;;;;;;Interactive Computer Aided Learning and Teaching of Analytical Mechanics.;;;db/journals/i-jep/i-jep1.html#AanHA11;1;2011
2856254;Bill Williams|José Figueiredo;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/3236;;iJEP;journals/i-jep/WilliamsF14;2014-03-18;;;1;24-31;;;;;;;From Academia to Start-up: A Case Study with Implications for Engineering Education.;;;db/journals/i-jep/i-jep4.html#WilliamsF14;4;2014
2856255;Abdellah Touhafi|An Braeken|Francis Gueuning|Yannick Verbelen;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/2085;;iJEP;journals/i-jep/TouhafiBVG12;2012-05-02;;;2;30-36;;;;;;;Comparative Study of Electronics Visualisation Techniques for E-Learning.;;;db/journals/i-jep/i-jep2.html#TouhafiBVG12;2;2012
2856256;Govind Gopakumar;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/3269;;iJEP;journals/i-jep/Gopakumar14;2014-03-18;;;1;43-48;;;;;;;Public Leadership Framework: Studying Approaches to Diversify Engineering Education.;;;db/journals/i-jep/i-jep4.html#Gopakumar14;4;2014
2856257;Pál Pentelényi|Ágnes Tóth;;;;;;;http://online-journals.org/i-jep/article/view/2459;;iJEP;journals/i-jep/TothP13;2013-05-02;;;S2;59-63;;;;;;;40 Years of Technical Teacher Training in Hungary.;;;db/journals/i-jep/i-jep3.html#TothP13;3;2013
2856258;Axel Zafoschnig;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/3244;;iJEP;journals/i-jep/Zafoschnig14;2014-03-18;;;1;32-36;;;;;;;The Development of the new ING.PAED.IGIP Curriculum into an Umbrella for Modularised National and Regional Engineering Education Curricula.;;;db/journals/i-jep/i-jep4.html#Zafoschnig14;4;2014
2856259;Antonio J. Sierra;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/2080;;iJEP;journals/i-jep/Sierra12;2012-05-02;;;2;6-14;;;;;;;Tool for Validation Software Projects in Programming Labs.;;;db/journals/i-jep/i-jep2.html#Sierra12;2;2012
2856260;José Couto Marques|Maria Teresa Restivo|Maria de Fátima Chouzal;;;;;;;http://online-journals.org/i-jep/article/view/2407;;iJEP;journals/i-jep/MarquesRC13;2013-05-02;;;S1;16-21;;;;;;;Mentoring Activities in a Summer School.;;;db/journals/i-jep/i-jep3.html#MarquesRC13;3;2013
2856261;Christian Guetl|Mohamed Soliman;;;;;;;http://online-journals.org/index.php/i-jep/article/view/1816;;iJEP;journals/i-jep/SolimanG11;2012-03-10;;;3;45-48;;;;;;;Evaluation of Intelligent Agent Frameworks for Human Learning.;;;db/journals/i-jep/i-jep1.html#SolimanG11;1;2011
2856262;Hants Kipper|Tiia Rüütmann;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/2404;;iJEP;journals/i-jep/RuutmannK13;2013-03-05;;;1;44-51;;;;;;;Rethinking Effective Teaching and Learning for the Design of Efficient Curriculum for Technical Teachers.;;;db/journals/i-jep/i-jep3.html#RuutmannK13;3;2013
2856263;David Harris Smith|Olga V. Shipulina|Peter Liljedahl;;;;;;;http://www.online-journals.org/index.php/i-jep/article/view/2337;;iJEP;journals/i-jep/ShipulinaSL13;2013-03-05;;;1;29-35;;;;;;;Bringing Reality into Calculus Classrooms: Mathematizing a Real-life Problem Simulated in a Virtual Environment.;;;db/journals/i-jep/i-jep3.html#ShipulinaSL13;3;2013
